	voxels_in	voxels_out	standard_deviation_resamp	mean_resamp	variance_resamp	median_resamp	n_outliers_low_6sd	n_outliers_high_6sd	nonzero_percent_voxels_in_mask	threshold_flag
0	228910.0	653544.0	1.5818986892700195	0.20040704309940338	2.502403497695923	4.25058073591153e-17	0.0	0.0	0.8969244976650341	False
1	228991.0	653374.0	1.4443283081054688	1.1823769807815552	2.0860841274261475	1.161332607269287	0.0	0.0	0.9716740413947647	False
2	228960.0	653233.0	2.019601345062256	-0.10196294635534286	4.078789710998535	-0.06559091806411743	0.0	0.0	0.9508978786167899	False
3	228916.0	653650.0	1.5773365497589111	0.17634452879428864	2.487990617752075	2.7592945289756088e-17	0.0	0.0	0.8969244976650341	False
4	228897.0	656161.0	1.6476142406463623	-0.6304661631584167	2.714632511138916	-0.5269684195518494	0.0	0.0	0.8822056783218007	False
5	229008.0	654439.0	1.7237043380737305	-0.3925599753856659	2.9711568355560303	-0.457206130027771	0.0	0.0	0.9723611822323761	False
6	229010.0	654824.0	2.108236312866211	-2.3202760219573975	4.444660186767578	-2.535080671310425	0.0	0.0	0.987740882253822	False
7	229023.0	655154.0	1.6726208925247192	0.7053133845329285	2.7976608276367188	0.6532222032546997	0.0	0.0	0.993185488635916	False
8	228958.0	653179.0	1.3508206605911255	0.13683825731277466	1.824716329574585	-1.1519648082658485e-19	0.0	0.0	0.9558960622890981	False
9	228993.0	653469.0	0.9318735599517822	-0.21544907987117767	0.8683883547782898	-0.13823871314525604	0.0	0.0	0.9716740413947647	False
10	228889.0	653840.0	1.6165812015533447	0.1834598332643509	2.6133346557617188	4.5319650809894085e-17	0.0	0.0	0.8969244976650341	False
11	229005.0	654780.0	2.120084762573242	-2.238590955734253	4.4947590827941895	-2.422342538833618	0.0	0.0	0.987740882253822	False
12	229013.0	655028.0	1.1459256410598755	0.6446876525878906	1.3131455183029175	0.6455433964729309	0.0	0.0	0.9821474683017992	False
13	228724.0	654796.0	1.1527103185653687	0.7030696868896484	1.328741192817688	0.46264520287513733	0.0	0.0	0.8287093569324633	False
