index,val1,val2,atlas,labels
0,4.016483671875903e-06,-4.405183972266968e-06,0.0,No Label
1,-3.4972268622368574e-05,8.93098422238836e-06,0.0,No Label
2,-5.777459591627121e-05,-2.268421303597279e-05,0.0,No Label
3,-4.920001970276644e-07,-8.693912256774183e-09,0.0,No Label
4,-3.0143435651552863e-05,1.4809931599302217e-05,0.0,No Label
5,-5.9084821259602904e-05,-2.1075263134662237e-07,0.0,No Label
6,-5.4078340326668695e-05,-3.401357025722973e-05,0.0,No Label
7,8.562227776565123e-06,-2.210912134614773e-05,0.0,No Label
8,3.0890707876096712e-06,-1.2883237104688305e-05,0.0,No Label
9,-4.649046481119967e-09,-1.110113667657231e-09,0.0,No Label
10,-1.4148612308417796e-06,-2.198896993377275e-07,0.0,No Label
11,1.72553973243339e-05,4.8212939873337746e-05,0.0,No Label
12,-5.716540545108728e-05,9.867388143902645e-06,0.0,No Label
13,-2.1052408555988222e-05,-2.8740243578795344e-05,0.0,No Label
14,2.2002561308909208e-05,-0.00014576535613741726,0.0,No Label
15,5.858146323589608e-05,-0.0001044853706844151,0.0,No Label
16,4.797403107659193e-06,1.2094539670215454e-05,0.0,No Label
17,-3.2772059057606384e-05,4.7327954234788194e-05,0.0,No Label
18,-7.707571057835594e-05,7.267771252372768e-06,0.0,No Label
19,-1.5300616723834537e-05,-9.122387564275414e-05,0.0,No Label
20,-2.3045469788485207e-05,-0.0002133813832188025,0.0,No Label
21,-2.2787533453083597e-05,-9.275084448745474e-05,0.0,No Label
22,-1.2376708582451101e-05,-3.093077248195186e-05,0.0,No Label
23,3.212897718185559e-05,-4.808785888599232e-06,0.0,No Label
24,1.9130261534883175e-06,-9.241878615284804e-06,0.0,No Label
25,-9.78374282567529e-06,-2.268164826091379e-05,0.0,No Label
26,-3.615788955357857e-05,-6.496955393231474e-06,0.0,No Label
27,-3.7301193515304476e-05,-1.1185141374880914e-05,0.0,No Label
28,-2.629074629112438e-07,-2.1884594048060535e-07,0.0,No Label
29,2.0492441308306297e-06,7.4362719715281855e-06,0.0,No Label
30,-6.259877409320325e-05,-0.00010768440552055836,0.0,No Label
31,1.524742128822254e-05,-6.591131386812776e-05,0.0,No Label
32,-1.3077302583042183e-06,-6.166981734168075e-07,0.0,No Label
33,2.2225453903956804e-06,7.394532985927071e-06,0.0,No Label
34,2.978640395667753e-06,-1.2740373449560138e-06,0.0,No Label
35,-2.577191651198518e-07,-1.205183366437268e-07,0.0,No Label
36,-1.0931538696468124e-07,1.9527439576449979e-07,0.0,No Label
37,8.031961442611646e-06,-6.571614358108491e-05,0.0,No Label
38,-0.0002587368944659829,-0.0005902875564061105,0.0,No Label
39,-0.0004984735860489309,0.00014201035082805902,0.0,No Label
40,-0.001546827843412757,-0.0002262592752231285,0.0,No Label
41,0.00014560268027707934,-0.00017535086954012513,0.0,No Label
42,-3.197505066054873e-05,-5.5891872762003914e-05,0.0,No Label
43,2.136738839908503e-05,2.226426431661821e-06,0.0,No Label
44,4.951421050947147e-09,1.1468650473744901e-09,0.0,No Label
45,1.1433156998919003e-07,-1.5350769899669103e-07,0.0,No Label
46,6.62836600895389e-06,-2.973728987853974e-05,0.0,No Label
47,0.0007791775278747082,-0.0008545833989046514,0.0,No Label
48,-0.006784443277865648,0.0017325659282505512,0.0,No Label
49,-0.01120798010379076,-0.0044006225652992725,0.0,No Label
50,0.002076673088595271,0.0009965391363948584,0.0,No Label
51,-0.0005026121507398784,-0.00018790930334944278,0.0,No Label
52,-0.00012277756468392909,9.58903256105259e-05,0.0,No Label
53,-8.327588875545189e-05,-3.735402788151987e-05,0.0,No Label
54,-2.4176112223273094e-09,5.37106747966476e-10,0.0,No Label
