filename,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
ct2_r10_stain1-0042_100000.zvi.tif,0.98067,0.93131,0.86747,0.79971,0.7328,0.66872,0.60869,0.55348,0.50361,0.45936,0.42081,0.38783,0.36016,0.33729,0.31849,0.30292,
ct2_r10_stain1-0042_100001.zvi.tif,0.98098,0.93272,0.87077,0.80519,0.7407,0.67942,0.62232,0.56969,0.52155,0.47792,0.43885,0.40436,0.37433,0.34842,0.32609,0.30682,
ct2_r10_stain1-0042_100002.zvi.tif,0.98111,0.93288,0.87013,0.80276,0.73607,0.67272,0.61402,0.56053,0.51243,0.46954,0.43157,0.39823,0.36915,0.34381,0.32171,0.30244,
ct2_r10_stain1-0042_100003.zvi.tif,0.98141,0.93428,0.87372,0.80952,0.74642,0.68661,0.63124,0.58083,0.5354,0.49468,0.45828,0.42584,0.39697,0.37119,0.34808,0.3273,
ct2_r10_stain1-0042_100004.zvi.tif,0.98004,0.92975,0.8658,0.79877,0.73356,0.67222,0.61574,0.56443,0.51827,0.47702,0.44058,0.40888,0.38163,0.3582,0.3378,0.31977,
ct2_r10_stain1-0042_100005.zvi.tif,0.97977,0.92827,0.86176,0.79102,0.72138,0.65538,0.59427,0.5386,0.48863,0.44438,0.40572,0.37248,0.34434,0.3207,0.30084,0.28404,
ct2_r10_stain1-0042_100006.zvi.tif,0.98084,0.93105,0.86472,0.79216,0.71942,0.64998,0.58586,0.52806,0.47698,0.43249,0.39417,0.36141,0.3335,0.30956,0.2887,0.27021,
ct2_r10_stain1-0042_100007.zvi.tif,0.98138,0.93379,0.87176,0.80519,0.73955,0.67759,0.62055,0.56896,0.5229,0.48211,0.44613,0.41438,0.38629,0.3614,0.33934,0.31963,
ct2_r10_stain1-0042_100008.zvi.tif,0.98123,0.93326,0.87082,0.80396,0.73808,0.67589,0.6186,0.5667,0.52034,0.47936,0.44334,0.4117,0.38375,0.35876,0.33627,0.31599,
ct2_r10_stain1-0042_100009.zvi.tif,0.98086,0.93224,0.8697,0.80338,0.73836,0.67707,0.62065,0.56947,0.52353,0.48261,0.44639,0.41442,0.38609,0.36067,0.3376,0.31658,
ct2_r10_stain1-0042_100010.zvi.tif,0.98191,0.93586,0.87633,0.81302,0.75078,0.69174,0.63673,0.58605,0.53985,0.49805,0.46039,0.42648,0.39597,0.36849,0.34365,0.32107,
ct2_r10_stain1-0042_100011.zvi.tif,0.9833,0.94061,0.88506,0.82564,0.76712,0.71174,0.66033,0.61308,0.5699,0.5305,0.49454,0.46172,0.43179,0.40452,0.3797,0.35702,
ct2_r10_stain1-0042_100012.zvi.tif,0.98232,0.93813,0.8824,0.82417,0.76742,0.7138,0.66399,0.61802,0.57563,0.5365,0.50041,0.46712,0.43634,0.40776,0.38129,0.35691,
ct2_r10_stain1-0042_100013.zvi.tif,0.98323,0.94058,0.88549,0.82681,0.76891,0.71381,0.66228,0.61446,0.57027,0.52967,0.49261,0.459,0.42868,0.40147,0.37708,0.35525,
ct2_r10_stain1-0042_100014.zvi.tif,0.98354,0.9412,0.88553,0.8253,0.76541,0.70824,0.65481,0.60543,0.56007,0.51852,0.48055,0.44594,0.41445,0.38584,0.3599,0.33645,
ct2_r10_stain1-0042_100015.zvi.tif,0.98193,0.93617,0.87763,0.81608,0.75618,0.69982,0.64769,0.59985,0.55613,0.51626,0.4799,0.44675,0.41662,0.38938,0.36489,0.34283,
ct2_r10_stain1-0042_100016.zvi.tif,0.98298,0.9394,0.88251,0.82136,0.76087,0.70345,0.65018,0.60132,0.55671,0.51601,0.47882,0.44482,0.41378,0.38554,0.35996,0.3369,
ct2_r10_stain1-0042_100017.zvi.tif,0.98766,0.95412,0.90596,0.84922,0.78891,0.72871,0.67102,0.61712,0.56753,0.52238,0.48163,0.44513,0.41259,0.38365,0.35793,0.33509,
ct2_r10_stain1-0042_100018.zvi.tif,0.98274,0.93871,0.88151,0.82024,0.75979,0.70255,0.64956,0.60107,0.55697,0.51701,0.48086,0.44812,0.41833,0.39107,0.36613,0.34342,
ct2_r10_stain1-0042_100019.zvi.tif,0.98427,0.94453,0.89405,0.84136,0.78977,0.74019,0.69299,0.6483,0.60626,0.56696,0.53041,0.49646,0.46493,0.43565,0.40852,0.38352,
ct2_r10_stain1-0042_100020.zvi.tif,0.98453,0.94529,0.89519,0.84264,0.79108,0.74153,0.69427,0.64928,0.60664,0.56662,0.52949,0.49533,0.46401,0.43528,0.40883,0.38437,
ct2_r10_stain1-0042_100021.zvi.tif,0.9839,0.94253,0.88826,0.82952,0.77092,0.71475,0.66204,0.61316,0.56823,0.52727,0.49019,0.45673,0.42649,0.39907,0.37411,0.35135,
ct2_r10_stain1-0042_100022.zvi.tif,0.98411,0.94383,0.89238,0.83831,0.78518,0.73424,0.68603,0.6408,0.5987,0.55971,0.52367,0.49032,0.45949,0.43109,0.40504,0.38116,
ct2_r10_stain1-0042_100023.zvi.tif,0.98474,0.94566,0.8946,0.83948,0.7844,0.7314,0.68155,0.63529,0.59276,0.55391,0.51851,0.48622,0.45668,0.42955,0.40455,0.38143,
ct2_r10_stain1-0042_100024.zvi.tif,0.98475,0.94568,0.89444,0.83889,0.78329,0.72978,0.67943,0.6327,0.58973,0.55043,0.51461,0.48205,0.45245,0.42543,0.40056,0.37746,
ct2_r10_stain1-0042_100025.zvi.tif,0.98408,0.94364,0.8912,0.83475,0.77844,0.72446,0.67393,0.62725,0.58443,0.54528,0.50951,0.47687,0.44718,0.42027,0.39589,0.3737,
ct2_r10_stain1-0042_100026.zvi.tif,0.98556,0.94856,0.89984,0.84661,0.79303,0.74144,0.69308,0.64837,0.6073,0.56956,0.53482,0.50279,0.47332,0.44622,0.42125,0.39814,
ct2_r10_stain1-0042_100027.zvi.tif,0.98543,0.94799,0.8989,0.84587,0.79293,0.74208,0.69424,0.6497,0.60846,0.57027,0.53476,0.50164,0.47074,0.44202,0.4155,0.39122,
ct2_r10_stain1-0042_100028.zvi.tif,0.98533,0.94789,0.89914,0.84664,0.79426,0.74376,0.69587,0.65086,0.60874,0.56938,0.5326,0.49829,0.46648,0.43722,0.41057,0.38659,
ct2_r10_stain1-0042_100029.zvi.tif,0.98529,0.94736,0.89704,0.84179,0.78581,0.73128,0.67938,0.63072,0.58557,0.54397,0.5058,0.47085,0.43885,0.40961,0.38317,0.35957,
ct2_r10_stain1-0042_100030.zvi.tif,0.98379,0.94252,0.88888,0.83118,0.77368,0.71836,0.66618,0.61749,0.57244,0.53107,0.49336,0.45927,0.42867,0.40136,0.37702,0.35527,
ct2_r10_stain1-0042_100031.zvi.tif,0.98383,0.94218,0.88725,0.82758,0.76808,0.71127,0.65817,0.60906,0.56392,0.52268,0.48521,0.45142,0.42112,0.39401,0.36974,0.34796,
ct2_r10_stain1-0042_100032.zvi.tif,0.98488,0.94598,0.89461,0.83853,0.78205,0.7274,0.67571,0.62739,0.58247,0.54083,0.50243,0.46742,0.4359,0.40776,0.38279,0.36064,
ct2_r10_stain1-0042_100033.zvi.tif,0.98547,0.94832,0.8996,0.84651,0.79298,0.741,0.69153,0.64499,0.60156,0.56132,0.52421,0.49012,0.45885,0.43023,0.40418,0.38059,
ct2_r10_stain1-0042_100034.zvi.tif,0.98484,0.9455,0.89296,0.83506,0.77644,0.71956,0.66574,0.61561,0.56949,0.52738,0.48908,0.45432,0.42282,0.39434,0.36868,0.34555,
ct2_r10_stain1-0042_100035.zvi.tif,0.98445,0.94469,0.89232,0.83492,0.77695,0.72081,0.66777,0.61837,0.57289,0.53143,0.494,0.46044,0.43053,0.40399,0.38045,0.35937,
ct2_r10_stain1-0042_100036.zvi.tif,0.98522,0.94751,0.89882,0.84694,0.79513,0.74466,0.6963,0.65053,0.60774,0.56812,0.53166,0.49819,0.46755,0.43959,0.41418,0.39112,
ct2_r10_stain1-0042_100037.zvi.tif,0.98587,0.94989,0.90338,0.85355,0.80352,0.75465,0.70781,0.66363,0.62247,0.58445,0.54942,0.51713,0.48736,0.45997,0.43486,0.41186,
ct2_r10_stain1-0042_100038.zvi.tif,0.98569,0.94879,0.89986,0.84625,0.79224,0.74018,0.69129,0.64609,0.60467,0.56683,0.53227,0.50071,0.47192,0.44565,0.42172,0.39996,
ct2_r10_stain1-0042_100039.zvi.tif,0.98336,0.94071,0.88479,0.82429,0.76401,0.70633,0.65237,0.60258,0.55714,0.51598,0.47889,0.44568,0.41613,0.38994,0.36677,0.34621,
ct2_r10_stain1-0042_100040.zvi.tif,0.98351,0.94151,0.88712,0.82888,0.77099,0.71537,0.66292,0.61398,0.56871,0.52715,0.4892,0.45475,0.42369,0.39586,0.37094,0.34852,
