parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	final_groups
255	L	-12.86	-79.22	-10.88	Occipital	lingual	Second-Visual	7Networks_1	17Networks_1	480
256	L	-1.66	-96.18	6.37	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_1	199
257	L	-8.43	-74.15	10.75	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_2	200
258	L	-5.85	-92.38	24.88	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_2	481
259	L	-5.41	-60.82	7.1	Parietal	lingual	First-Visual-V1+	7Networks_1	17Networks_2	201
260	L	-5.65	-80.18	17.54	Occipital	pericalcarine	First-Visual-V1+	7Networks_1	17Networks_2	202
261	L	-2.31	-79.71	29.06	Occipital	cuneus	Second-Visual	7Networks_1	17Networks_2	482
262	L	-3.01	-66.78	20.1	Parietal	cuneus	Parieto-Occipital	7Networks_1	17Networks_2	420
263	L	-12.78	-64.34	12.22	Parietal	cuneus	Second-Visual	7Networks_1	17Networks_2	483
264	L	-17.57	-63.69	23.77	Parietal	precuneus	Parieto-Occipital	7Networks_1	17Networks_15	421
265	L	-19.48	-8.84	-22.69	Temporal	???	none	7Networks_5	17Networks_9	363
266	L	-20.93	-21.8	-17.75	Temporal	parahippocampal	none	7Networks_5	17Networks_15	364
267	L	-16.49	-30.06	-14.58	Parietal	parahippocampal	none	7Networks_7	17Networks_15	365
268	L	-26.71	-15.69	-20.38	Temporal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	366
269	L	-24.08	-35.27	-8.6	None	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	367
270	L	-27.66	-39.79	-4.2	None	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	368
271	L	-8.1	40.5	47	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	615
272	L	-16.28	32.34	43.26	Frontal	superiorfrontal	Default	7Networks_7	17Networks_17	146
273	L	-13.6	44.02	40.49	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	252
274	L	-22.46	39	37.39	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_17	253
275	L	-20.78	46.84	29.97	Frontal	rostralmiddlefrontal	Default	7Networks_7	17Networks_8	147
276	L	-36.73	48.33	19.24	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	254
277	L	-10.16	35.21	-2.28	Frontal	medialorbitofrontal	Default	7Networks_7	17Networks_16	148
278	L	-4.27	34.3	-0.45	Frontal	rostralanteriorcingulate	Salience	7Networks_7	17Networks_16	432
279	L	-27.63	41.49	17.34	Frontal	rostralmiddlefrontal	Ventral-Attention-Language	7Networks_6	17Networks_13	616
280	L	-14.55	58.84	8.19	Frontal	rostralmiddlefrontal	Default	7Networks_7	17Networks_16	149
281	L	-11.95	42.92	7.33	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	433
282	L	-5.78	41.72	8.6	Frontal	rostralanteriorcingulate	Default	7Networks_7	17Networks_16	150
283	L	-24.3	53.5	19.99	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_16	255
284	L	-12.83	58.43	18.82	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	256
285	L	-7.87	52.47	13.53	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	151
286	L	-7.09	47.69	24.43	Frontal	superiorfrontal	Default	7Networks_7	17Networks_17	152
287	L	-13.87	48.66	37.45	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	257
288	L	-8.58	36.25	27.37	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_16	258
289	L	-33.98	36.38	28.87	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_8	51
290	L	-14.66	24.08	54.88	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_17	259
291	L	-21.49	16.91	45.14	Frontal	superiorfrontal	Default	7Networks_7	17Networks_16	153
292	L	-33.17	31.17	38.03	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_4	17Networks_8	52
293	L	-34.38	29.48	27.34	Frontal	rostralmiddlefrontal	First-Dorsal-Attention	7Networks_6	17Networks_12	185
294	L	-26.97	32.06	46.46	Frontal	rostralmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_8	323
295	L	-32.93	11.2	52.41	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_7	17Networks_16	260
296	L	-33.32	22.05	46.04	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	261
297	L	-42.43	18.62	38.52	Frontal	caudalmiddlefrontal	Ventral-Attention-Language	7Networks_6	17Networks_13	617
298	L	-42.26	2.65	-16.33	Temporal	superiortemporal	none	7Networks_5	17Networks_9	369
299	L	-38.18	-23.68	5.9	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	53
300	L	-41.21	10.63	-15.76	Temporal	superiortemporal	none	7Networks_5	17Networks_9	370
301	L	-45.22	-4.91	-7.36	Temporal	superiortemporal	none	7Networks_4	17Networks_4	371
302	L	-49.93	5.16	-14.82	Temporal	superiortemporal	Ventral-Attention-Language	7Networks_5	17Networks_17	618
303	L	-51.11	4.11	-2.98	Frontal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	54
304	L	-57.19	-13.23	3.99	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	55
305	L	-47.69	-20.6	7.89	Temporal	transversetemporal	Cingulo-opercular	7Networks_2	17Networks_4	56
306	L	-56.19	-3.49	-3.62	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	57
307	L	-53.98	-18.25	-3.48	Temporal	superiortemporal	Ventral-Attention-Language	7Networks_7	17Networks_14	619
308	L	-53.44	-9.06	-13.13	Temporal	middletemporal	Default	7Networks_7	17Networks_17	154
309	L	-48.8	-20.84	-7.27	Temporal	middletemporal	Ventral-Attention-Language	7Networks_7	17Networks_17	620
310	L	-48	-26.46	-6.19	Temporal	middletemporal	Cingulo-opercular	7Networks_7	17Networks_17	58
311	R	6.22	-49.39	29.34	Parietal	precuneus	Default	7Networks_7	17Networks_16	155
312	R	15.67	-32.58	68.63	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	545
313	R	49.51	-3.44	46.91	Frontal	precentral	Cingulo-opercular	7Networks_2	17Networks_4	59
314	R	3.11	14.37	55.04	Frontal	superiorfrontal	Ventral-Attention-Language	7Networks_7	17Networks_17	621
315	R	28.23	-76.8	30.94	Parietal	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	484
316	R	44.87	-50.85	37.6	Parietal	supramarginal	Frontal-Parietal	7Networks_6	17Networks_12	262
317	R	40.08	43.27	16.6	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_8	263
318	R	17.52	-50.76	-7.45	Occipital	lingual	Somatomotor	7Networks_1	17Networks_2	546
319	R	57.64	-45.35	-11.69	Temporal	middletemporal	Frontal-Parietal	7Networks_6	17Networks_13	264
320	R	35.36	-24.41	17.5	Parietal	insula	Somatomotor	7Networks_2	17Networks_4	547
321	R	29.28	9.03	-22.77	Temporal	superiortemporal	none	7Networks_5	17Networks_9	372
322	R	5.99	-34.51	27.61	Parietal	isthmuscingulate	Parietal-Episodic-Retrieval	7Networks_6	17Networks_11	410
323	R	4	-51.64	17.52	Parietal	isthmuscingulate	Salience	7Networks_7	17Networks_16	434
324	R	5.06	-54.42	8.19	Parietal	isthmuscingulate	Parieto-Occipital	7Networks_7	17Networks_16	422
325	R	16.19	-53.17	3.44	Occipital	lingual	Second-Visual	7Networks_1	17Networks_2	485
326	R	8.84	-58.2	-1.27	Occipital	lingual	Second-Visual	7Networks_1	17Networks_2	486
327	R	20.73	-37.21	-3.64	Parietal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	373
328	R	11.34	-37.19	-3.84	Parietal	???	none	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	374
329	R	5.34	-45.18	17.75	Parietal	isthmuscingulate	Parietal-Episodic-Retrieval	7Networks_7	17Networks_16	411
330	R	5.44	-50.14	5.72	Parietal	isthmuscingulate	Parieto-Occipital	7Networks_7	17Networks_15	423
331	R	10.82	-45.6	-4.87	Cerebellum	lingual	Somatomotor	7Networks_1	17Networks_2	548
332	R	3.13	-35.34	33.55	Parietal	posteriorcingulate	Default	7Networks_7	17Networks_16	156
333	R	9.91	-23.45	42.79	Parietal	posteriorcingulate	Cingulo-opercular	7Networks_7	17Networks_11	60
334	R	8.3	-14.03	40.26	Frontal	posteriorcingulate	Somatomotor	7Networks_2	17Networks_3	549
335	R	5.49	-14.25	51.15	Frontal	superiorfrontal	Somatomotor	7Networks_2	17Networks_3	550
336	R	4.1	2.93	52.48	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_7	61
337	R	5.13	21.94	43.08	Frontal	superiorfrontal	Frontal-Parietal	7Networks_6	17Networks_13	265
338	R	11.22	30.66	22.37	Frontal	superiorfrontal	Salience	7Networks_7	17Networks_13	435
339	R	2.68	29.25	17.76	Frontal	caudalanteriorcingulate	Salience	7Networks_6	17Networks_8	436
340	R	5.11	34.16	3.87	Frontal	medialorbitofrontal	Salience	7Networks_7	17Networks_16	437
341	R	8.41	4.01	43.11	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_7	62
342	R	4.67	-3.45	39.48	Frontal	posteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_7	63
343	R	3.28	-20.59	33.37	Parietal	posteriorcingulate	Parietal-Episodic-Retrieval	7Networks_6	17Networks_11	412
344	R	1.93	-6.26	32.78	Frontal	posteriorcingulate	none	7Networks_6	17Networks_12	375
345	R	10.9	17.48	33.66	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_8	64
346	R	2.37	15.91	29.61	Frontal	caudalanteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_8	65
347	R	6.99	21.42	28.14	Frontal	caudalanteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_8	66
348	R	8.53	-44.54	39.41	Parietal	precuneus	Default	7Networks_7	17Networks_16	157
349	R	6.59	-35.24	51.3	Parietal	precuneus	Cingulo-opercular	7Networks_3	17Networks_11	67
350	R	3.3	-37.49	59.52	Parietal	precuneus	Cingulo-opercular	7Networks_4	17Networks_7	68
351	R	9.13	-41.93	65.99	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	551
352	R	13.01	-37.92	71.9	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	552
353	R	8.08	-30.77	76.31	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	553
354	R	6.11	-25.94	71.18	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	554
355	R	14.69	-12.76	70.03	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	555
356	R	5.5	-18.24	63.95	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	556
357	R	9.15	-7.64	64.22	Frontal	superiorfrontal	Somatomotor	7Networks_4	17Networks_7	557
358	R	11.96	3.53	59.8	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_8	69
359	R	8.05	-33.91	65.77	Frontal	precuneus	Somatomotor	7Networks_2	17Networks_3	558
360	R	12.08	-33.66	42.61	Parietal	posteriorcingulate	Cingulo-opercular	7Networks_4	17Networks_7	70
361	R	10.23	-32.01	53.17	Parietal	precuneus	Somatomotor	7Networks_4	17Networks_7	559
362	R	12.02	-27.89	47.08	Parietal	paracentral	Cingulo-opercular	7Networks_4	17Networks_7	71
363	R	5.85	-1.62	61.92	Frontal	superiorfrontal	Cingulo-opercular	7Networks_4	17Networks_7	72
364	R	22.11	-25.27	62.67	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	560
365	R	38.92	-19.61	48.58	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	561
366	R	37.73	-8.47	44.78	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	562
367	R	44.47	1.21	42.84	Frontal	precentral	Ventral-Attention-Language	7Networks_4	17Networks_7	622
368	R	29.08	7.6	51.1	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_3	17Networks_5	266
369	R	25.74	1.33	46.82	Frontal	caudalmiddlefrontal	Frontal-Parietal	7Networks_3	17Networks_12	267
370	R	16.33	15.8	49.11	Frontal	superiorfrontal	Frontal-Parietal-Other	7Networks_6	17Networks_13	324
371	R	15.92	11.06	59.66	Frontal	superiorfrontal	Frontal-Parietal	7Networks_6	17Networks_13	268
372	R	10.91	15.44	60.22	Frontal	superiorfrontal	Frontal-Parietal	7Networks_7	17Networks_13	269
373	R	15.16	-24.35	67.97	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	563
374	R	22.21	-21.29	60.79	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	564
375	R	42.79	-0.73	52.93	Frontal	precentral	Cingulo-opercular	7Networks_2	17Networks_3	73
376	R	34.31	-20.59	58.53	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	565
377	R	11.78	-21.35	67.57	Frontal	postcentral	Somatomotor	7Networks_2	17Networks_3	566
378	R	34.22	-9.66	55.93	Frontal	precentral	Second-Dorsal-Attention	7Networks_2	17Networks_3	449
379	R	33.73	-14.63	64.59	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	567
380	R	29.38	-8.05	58.13	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	568
381	R	19.79	-7.82	62.55	Frontal	precentral	Somatomotor	7Networks_2	17Networks_3	569
382	R	23.84	0.81	56.2	Frontal	superiorfrontal	First-Dorsal-Attention	7Networks_3	17Networks_6	186
383	R	21.87	7.24	58.12	Frontal	superiorfrontal	Frontal-Parietal-Other	7Networks_3	17Networks_6	325
384	R	27.21	-35.66	54.84	Parietal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	570
385	R	35.87	-38.31	55.51	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_2	17Networks_6	450
386	R	33.56	-41.88	47.79	Parietal	superiorparietal	First-Dorsal-Attention	7Networks_3	17Networks_5	187
387	R	34.62	-43.64	40.1	Parietal	supramarginal	Frontal-Parietal	7Networks_3	17Networks_12	270
388	R	35.82	-15.61	36.22	None	postcentral	Somatomotor	7Networks_2	17Networks_4	571
389	R	53.76	-18.99	42.61	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	572
390	R	47.17	-23.25	36.82	Parietal	postcentral	Second-Dorsal-Attention	7Networks_2	17Networks_6	451
391	R	41.8	-28.58	41.97	Parietal	supramarginal	Second-Dorsal-Attention	7Networks_3	17Networks_6	452
392	R	51.66	-31.94	47.62	Parietal	supramarginal	Frontal-Parietal	7Networks_4	17Networks_7	271
393	R	44.34	-42.91	49.57	Parietal	supramarginal	Frontal-Parietal	7Networks_6	17Networks_12	272
394	R	22.74	-28.71	65.9	Frontal	superiorparietal	Somatomotor	7Networks_2	17Networks_3	573
395	R	31.99	-32.06	46.23	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_6	574
396	R	30.19	-32.03	59.75	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	575
397	R	39.23	-27.95	48.54	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_3	576
398	R	53.57	-49.24	37.88	Parietal	supramarginal	Cingulo-opercular	7Networks_6	17Networks_8	74
399	R	55.07	-52.2	27.37	Parietal	inferiorparietal	Cingulo-opercular	7Networks_6	17Networks_13	75
400	R	51.63	-47.47	17.93	Parietal	inferiorparietal	Cingulo-opercular	7Networks_7	17Networks_14	76
401	R	58.85	-41.04	-2.5	Temporal	bankssts	Frontal-Parietal	7Networks_7	17Networks_17	273
402	R	48.58	-40.18	36.04	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	77
403	R	38.99	-35.92	20.77	Parietal	supramarginal	Cingulo-opercular	7Networks_2	17Networks_4	78
404	R	58.62	-29.87	-4.47	Temporal	middletemporal	Frontal-Parietal-Other	7Networks_7	17Networks_17	326
405	R	44.41	-26.65	-2.82	Temporal	superiortemporal	Cingulo-opercular	7Networks_7	17Networks_14	79
406	R	54.01	-21.49	-1.67	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_14	80
407	R	61.93	-21.15	4.21	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	81
408	R	44.68	-24.6	11.01	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	82
409	R	44.43	-44.46	7.51	Temporal	bankssts	Ventral-Attention-Language	7Networks_4	17Networks_14	623
410	R	50.99	-43.87	3.11	Temporal	bankssts	Ventral-Attention-Language	7Networks_7	17Networks_14	624
411	R	47.53	-44.53	19.75	Parietal	inferiorparietal	Cingulo-opercular	7Networks_7	17Networks_14	83
412	R	45.57	-34.99	0.16	Temporal	middletemporal	Default	7Networks_7	17Networks_17	158
413	R	58.09	-45.7	25.18	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_8	84
414	R	43.78	-35.33	4.73	Temporal	bankssts	Cingulo-opercular	7Networks_7	17Networks_14	85
415	R	56.51	-35.58	19.98	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	86
416	R	62.11	-35.49	8.53	Temporal	bankssts	Cingulo-opercular	7Networks_2	17Networks_14	87
417	R	39.67	-33.91	13.99	Temporal	superiortemporal	Cingulo-opercular	7Networks_2	17Networks_4	88
418	R	34.34	-21.69	4.22	Insula	insula	Cingulo-opercular	7Networks_2	17Networks_4	89
419	R	37.93	-14.32	-4.54	Insula	insula	Cingulo-opercular	7Networks_4	17Networks_7	90
420	R	35.88	-2	-10.56	Temporal	insula	Cingulo-opercular	FreeSurfer_Defined_Medial_Wall	FreeSurfer_Defined_Medial_Wall	91
421	R	39.26	3.84	-15.68	Temporal	superiortemporal	none	7Networks_5	17Networks_9	376
422	R	45.65	31.84	6.84	Frontal	parstriangularis	Cingulo-opercular	7Networks_4	17Networks_8	92
423	R	52.94	23.81	2.22	Frontal	parstriangularis	Ventral-Attention-Language	7Networks_7	17Networks_17	625
424	R	39.23	16.12	9.95	Frontal	parsopercularis	Cingulo-opercular	7Networks_6	17Networks_8	93
425	R	42.84	0.81	5.01	Insula	precentral	Cingulo-opercular	7Networks_4	17Networks_7	94
426	R	37.2	-12	15.49	Insula	insula	Somatomotor	7Networks_2	17Networks_4	577
427	R	43.66	40.25	6.65	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_8	95
428	R	45.01	35.54	-4.55	Frontal	parsorbitalis	Frontal-Parietal	7Networks_7	17Networks_17	274
429	R	45.12	25.07	-10.64	Frontal	parsorbitalis	Ventral-Attention-Language	7Networks_7	17Networks_17	626
430	R	35.41	18.22	-12.66	Insula	lateralorbitofrontal	Default	7Networks_7	17Networks_17	159
431	R	28.98	14.51	-9	Putamen	insula	Default	7Networks_4	17Networks_8	160
432	R	34.34	-14.82	11.16	Insula	insula	Somatomotor	7Networks_2	17Networks_4	578
433	R	37.3	-7.56	5.29	Insula	insula	Frontal-Parietal	7Networks_2	17Networks_4	275
434	R	34.5	2.64	8.3	Insula	insula	Cingulo-opercular	7Networks_4	17Networks_7	96
435	R	37.94	7.81	-5.86	Insula	insula	Cingulo-opercular	7Networks_4	17Networks_7	97
436	R	35.07	16.22	2.43	Insula	insula	Frontal-Parietal	7Networks_4	17Networks_8	276
437	R	34.56	20.45	-0.31	Insula	lateralorbitofrontal	Frontal-Parietal	7Networks_6	17Networks_8	277
438	R	41.48	24.24	-0.05	Frontal	parstriangularis	Cingulo-opercular	7Networks_4	17Networks_8	98
439	R	21.77	-44.32	70.25	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	99
440	R	11.87	-49.76	62.42	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_6	453
441	R	13.16	-52.34	57.76	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	487
442	R	20.78	-59.07	61.88	Parietal	superiorparietal	Somatomotor	7Networks_3	17Networks_5	579
443	R	18.46	-68.79	54.43	Parietal	superiorparietal	First-Dorsal-Attention	7Networks_3	17Networks_5	188
444	R	15.11	-71.64	44.92	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	488
445	R	20.64	-86.51	33.21	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_1	489
446	R	3.3	-56.78	24.63	Parietal	precuneus	Parieto-Occipital	7Networks_7	17Networks_16	424
447	R	9.93	-65.42	26.72	Parietal	precuneus	Parieto-Occipital	7Networks_7	17Networks_16	425
448	R	13.65	-76.51	39.24	Parietal	precuneus	Second-Visual	7Networks_1	17Networks_2	490
449	R	14.15	-88.52	26.03	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_2	491
450	R	10.52	-63	49.63	Parietal	superiorparietal	Parietal-Episodic-Retrieval	7Networks_3	17Networks_5	413
451	R	4.81	-62.34	56.91	Parietal	superiorparietal	Frontal-Parietal	7Networks_3	17Networks_5	278
452	R	2.98	-52.19	59.92	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	100
453	R	4.49	-52.97	46.24	Parietal	precuneus	Frontal-Parietal	7Networks_6	17Networks_11	279
454	R	10.68	-61.66	35.2	Parietal	precuneus	Parietal-Episodic-Retrieval	7Networks_7	17Networks_16	414
455	R	32.59	-78.16	38.84	Parietal	inferiorparietal	Frontal-Parietal-Other	7Networks_3	17Networks_5	327
456	R	28.13	-74.86	47.58	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_16	280
457	R	39.6	-67.34	43.65	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_16	281
458	R	42.16	-56.97	47.48	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_13	282
459	R	49.14	-59.35	33.41	Parietal	inferiorparietal	Frontal-Parietal-Other	7Networks_7	17Networks_13	328
460	R	31.77	-62.59	52.74	Parietal	inferiorparietal	Frontal-Parietal	7Networks_7	17Networks_13	283
461	R	31.12	-51.36	46.78	Parietal	inferiorparietal	Frontal-Parietal	7Networks_6	17Networks_13	284
462	R	26.58	-45.26	44.51	Parietal	inferiorparietal	Frontal-Parietal	7Networks_3	17Networks_12	285
463	R	23.8	-66.46	51.87	Parietal	superiorparietal	Frontal-Parietal	7Networks_3	17Networks_5	286
464	R	22.14	-52.8	51.51	Parietal	superiorparietal	Second-Visual	7Networks_3	17Networks_5	492
465	R	30.88	-44.77	54.57	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_5	454
466	R	28.68	-51.11	58.72	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_5	455
467	R	28.63	-44.81	64.76	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	101
468	R	34.62	-85.33	15.86	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	493
469	R	36.73	-82.36	9.67	Occipital	lateraloccipital	Second-Visual	7Networks_1	17Networks_1	494
470	R	40.87	-79.22	0.15	Occipital	inferiortemporal	Second-Visual	7Networks_3	17Networks_5	495
471	R	49.98	-58.47	-5.86	Temporal	inferiortemporal	Frontal-Parietal	7Networks_6	17Networks_12	287
472	R	49.89	-69.99	-0.42	Occipital	middletemporal	Cingulo-opercular	7Networks_3	17Networks_5	102
473	R	43.6	-66.44	11.74	Occipital	inferiorparietal	Second-Visual	7Networks_3	17Networks_5	496
474	R	59.53	-54.08	1.91	Temporal	middletemporal	Frontal-Parietal	7Networks_3	17Networks_6	288
475	R	40.92	-76.05	23.21	Parietal	inferiorparietal	Cingulo-opercular	7Networks_1	17Networks_5	103
476	R	40.44	-65.64	21.76	Parietal	inferiorparietal	Second-Visual	7Networks_3	17Networks_5	497
477	R	41.31	-69.82	33.34	Parietal	inferiorparietal	Parieto-Occipital	7Networks_7	17Networks_15	426
478	R	47.46	-56.78	16.04	Parietal	inferiorparietal	Default	7Networks_7	17Networks_16	161
479	R	47.81	-65.25	33.98	Parietal	inferiorparietal	Default	7Networks_7	17Networks_16	162
480	R	38.08	-57.12	29.95	Parietal	inferiorparietal	Ventral-Attention-Language	7Networks_7	17Networks_16	627
481	R	50.01	-8.48	30.4	Parietal	precentral	Somatomotor	7Networks_2	17Networks_4	580
482	R	58.31	-4.67	17.35	Frontal	precentral	Somatomotor	7Networks_2	17Networks_4	581
483	R	47.81	-12.1	13.72	Parietal	postcentral	Cingulo-opercular	7Networks_2	17Networks_4	104
484	R	51.86	-29.67	22.25	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	105
485	R	54.37	-35.82	37.28	Parietal	supramarginal	Cingulo-opercular	7Networks_4	17Networks_7	106
486	R	55.95	-29.27	37.66	Parietal	supramarginal	First-Dorsal-Attention	7Networks_4	17Networks_6	189
487	R	55.92	-28	31.64	Parietal	supramarginal	First-Dorsal-Attention	7Networks_4	17Networks_6	190
488	R	59.23	-21.39	29.83	Parietal	supramarginal	Second-Dorsal-Attention	7Networks_4	17Networks_6	456
489	R	60	-12.85	20.38	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_4	582
490	R	53.06	-12.62	29.48	Parietal	postcentral	Somatomotor	7Networks_2	17Networks_4	583
491	R	47.39	-0.98	36.22	Frontal	precentral	Cingulo-opercular	7Networks_4	17Networks_7	107
492	R	33.44	7.55	36.19	Frontal	caudalmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_12	108
493	R	39.88	22.59	36.83	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	289
494	R	41.15	32.63	28.4	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_8	290
495	R	53.12	17.8	12.03	Frontal	parstriangularis	Ventral-Attention-Language	7Networks_7	17Networks_17	628
496	R	41.75	31.83	19.67	Frontal	parstriangularis	Frontal-Parietal	7Networks_6	17Networks_12	291
497	R	46.49	25.12	18.48	Frontal	parstriangularis	Frontal-Parietal	7Networks_6	17Networks_12	292
498	R	47.35	6.36	12.94	Frontal	parsopercularis	Frontal-Parietal	7Networks_6	17Networks_8	293
499	R	44.27	22.45	26.62	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	294
500	R	45.87	15.7	26.53	Frontal	parsopercularis	Cingulo-opercular	7Networks_6	17Networks_12	109
501	R	52.72	-1.6	8.91	Frontal	precentral	Cingulo-opercular	7Networks_4	17Networks_7	110
502	R	40.33	5.78	20.96	Frontal	parsopercularis	Frontal-Parietal	7Networks_3	17Networks_12	295
503	R	47.18	7.29	30.06	Frontal	precentral	Frontal-Parietal	7Networks_4	17Networks_12	296
504	R	38.45	7.83	33.76	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_12	297
505	R	46.56	0.38	26.81	Frontal	precentral	Second-Dorsal-Attention	7Networks_3	17Networks_12	457
506	R	34.19	51.4	7.41	Frontal	rostralmiddlefrontal	Frontal-Parietal	7Networks_6	17Networks_13	298
507	R	37.93	49.46	1.69	Frontal	rostralmiddlefrontal	Frontal-Parietal-Other	7Networks_6	17Networks_13	329
508	R	25.71	49.03	-2.25	Frontal	rostralmiddlefrontal	Cingulo-opercular	7Networks_6	17Networks_13	111
509	R	6.7	52.98	-5.59	Frontal	medialorbitofrontal	Default	7Networks_7	17Networks_16	163
510	R	3.79	26.47	-3.92	Frontal	medialorbitofrontal	Salience	7Networks_5	17Networks_10	438
511	R	10.48	7.39	-14.02	Frontal	insula	none	7Networks_5	17Networks_10	377
