parcelnum	hemis	X	Y	Z	lobe	region	network	yeo7	yeo17	final_groups
125	L	-51.45	22.58	3.28	Frontal	parstriangularis	Ventral-Attention-Language	7Networks_7	17Networks_17	609
126	L	-18.15	-53.39	58.92	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	32
127	L	-17.27	-62.46	53.34	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_5	33
128	L	-8.39	-71.05	55.45	Parietal	superiorparietal	First-Dorsal-Attention	7Networks_3	17Networks_5	180
129	L	-12.37	-71.28	47.35	Parietal	superiorparietal	Second-Dorsal-Attention	7Networks_3	17Networks_5	447
130	L	-19.23	-72.1	36.37	Occipital	superiorparietal	Second-Visual	7Networks_3	17Networks_5	463
131	L	-23.52	-79.28	28	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_1	464
132	L	-24.93	-83.85	19.74	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_1	465
133	L	-14.4	-76.67	26.42	Occipital	precuneus	Second-Visual	7Networks_1	17Networks_2	466
134	L	-5.99	-84.27	37.52	Occipital	cuneus	Second-Visual	7Networks_1	17Networks_2	467
135	L	-14.63	-78.73	41.3	Occipital	superiorparietal	Second-Visual	7Networks_3	17Networks_5	468
136	L	-13.88	-50.52	60.37	Parietal	superiorparietal	Cingulo-opercular	7Networks_3	17Networks_6	34
137	L	-7.26	-60.87	53.97	Parietal	superiorparietal	Frontal-Parietal	7Networks_3	17Networks_5	223
138	L	-10.88	-81.37	40.56	Occipital	superiorparietal	Second-Visual	7Networks_1	17Networks_5	469
139	L	-6.33	-67.24	43.16	Parietal	precuneus	Parietal-Episodic-Retrieval	7Networks_3	17Networks_5	407
140	L	-4.62	-49.26	58.69	Parietal	precuneus	Frontal-Parietal-Other	7Networks_3	17Networks_6	321
141	L	-5.17	-43.16	57.54	Parietal	precuneus	Cingulo-opercular	7Networks_4	17Networks_7	35
142	L	-5.47	-53.84	46.4	Parietal	precuneus	Default	7Networks_6	17Networks_11	132
143	L	-10.16	-63.11	35.63	Parietal	precuneus	Parietal-Episodic-Retrieval	7Networks_6	17Networks_11	408
144	L	-8.45	-62.68	29.71	Parietal	precuneus	Default	7Networks_6	17Networks_11	133
145	L	-31.04	-82.86	32.21	Occipital	inferiorparietal	Frontal-Parietal-Other	7Networks_6	17Networks_15	322
